PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAB,SAMPLE_TYPE,SAMPLE_ID,NOT_COLLECTED,MATRIX,BATCH_ID,ANALYTE,RESULT,RESULT_UNITS,MDL,RL,QA_FLAG,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,LAB_SAMPLE_ID,LAB_COMMENT
8/13/2024,2020308,NLA_LA-10028,NES22-10116,1,6/3/2022,LA,GreenWater,MICZ,216144,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,19-216144,
8/13/2024,2020309,NLA_RI-10053,NLA22_RI-10001,1,6/5/2022,RI,GreenWater,MICZ,216584,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,32-216584,
8/13/2024,2020309,NLA_RI-10053,NLA22_RI-10001,1,6/5/2022,RI,GreenWater,MICZ,216584,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,32-216584,
8/13/2024,2020310,NLA_LA-10146,NLA22_LA-10016,1,6/5/2022,LA,GreenWater,MICZ,216304,,WATER,220712-1,CYLSPER,0.12,ug/L,0.05,0.1,,,6/30/2022,7/12/2022,33-216304,
8/13/2024,2020310,NLA_LA-10146,NLA22_LA-10016,1,6/5/2022,LA,GreenWater,MICZ,216304,,WATER,220711-1,MICX,0.51,ug/L,0.1,0.15,,,6/30/2022,7/11/2022,33-216304,
8/13/2024,2020311,NLA_RI-10054,NLA22_RI-10002,1,6/6/2022,RI,GreenWater,MICZ,216464,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,34-216464,
8/13/2024,2020311,NLA_RI-10054,NLA22_RI-10002,1,6/6/2022,RI,GreenWater,MICZ,216464,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,34-216464,
8/13/2024,2020312,NLA_MI-10170,NLA22_MI-10040,1,6/6/2022,MI,GreenWater,MICZ,208744,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,35-208744,
8/13/2024,2020312,NLA_MI-10170,NLA22_MI-10040,1,6/6/2022,MI,GreenWater,MICZ,208744,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,35-208744,
8/13/2024,2020314,NLA_LA-10147,NLA22_LA-10017,1,6/6/2022,LA,GreenWater,MICZ,216324,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,36-216324,
